,Ref_x,Subject,Locale_processed
23745,5062851,Universitätsklinikum Hamburg-E ppendorf (UKE),DEU
23747,5062857,Universitätsklinikum des Saarl andes,DEU
23748,5062863,Universität Leipzig vertr. dur ch die Kanzlerin Frau Prof.Dr.,DEU
23752,5062870,Uniper SE,DEU
23753,5062871,Uniper SE,DEU
23754,5062872,Uniper SE,DEU
23755,5062873,Uniper SE,DEU
23756,5062874,Uniper SE,DEU
23761,5062887,Tsogo Sun Hotels (Pty) Ltd,DEU
23764,5062896,"TRANSPORTES GLOBAL, SA DE C",DEU
23765,5062906,Tokai COBEX GmbH,DEU
23774,5062927,TGE Marine Gas Engineering Gmb H,DEU
23796,5062963,Stromnetz Berlin GmbH,DEU
23797,5062964,STRABAG SE,DEU
23798,5062965,STRABAG SE,DEU
23799,5062966,STRABAG SE,DEU
23800,5062967,STRABAG SE,DEU
23801,5062968,STRABAG SE,DEU
23802,5062969,STRABAG SE,DEU
23820,5062992,Standardkessel Baumgarte Contr acting GmbH,DEU
23823,5062998,Stadtwerke Düsseldorf AG,DEU
23824,5062999,Stadtwerke Duisburg AG,DEU
23825,5063000,Stadtwerke Bielefeld GmbH,DEU
23845,5063060,SIEGENIA-AUBI KG,DEU
23846,5063061,SIEGENIA-AUBI KG,DEU
23852,5063079,Schwarz Dienstleistung KG,DEU
23857,5063089,Schoeller Technocell GmbH & Co . KG,DEU
23861,5063095,Schaeffler AG,DEU
23862,5063096,Schaeffler AG,DEU
23863,5063097,Schaeffler AG,DEU
23866,5063106,Sanofi-Aventis Deutschland Gmb H,DEU
23870,5063113,SAB WindTeam GmbH,DEU
23871,5063119,RWTÜV GmbH,DEU
23874,5063123,Rudolf GmbH,DEU
23875,5063124,Rudolf GmbH,DEU
23891,5063146,Robert Bosch GmbH,DEU
23892,5063147,Robert Bosch GmbH,DEU
23893,5063155,Renk GmbH,DEU
23895,5063158,Remondis Assets & Services GmbH,DEU
23921,5063211,Ponnath DIE MEISTERMETZGER Gmb H,DEU
23924,5063214,PohlCon GmbH,DEU
23930,5063225,Pharmaceutical Company,DEU
23931,5063226,Pharmaceutical Company,DEU
23932,5063227,Pharmaceutical Company,DEU
23933,5063228,Pharmaceutical Company,DEU
23940,5063238,Paradise Fruits Solutions GmbH & Co. KG,DEU
23941,5063239,Papierfabrik Palm GmbH & Co. K G,DEU
23942,5063240,Papierfabrik Palm GmbH & Co. K G,DEU
23947,5063250,OTTO (GmbH & Co KG),DEU
23948,5063251,OTTO (GmbH & Co KG),DEU
23949,5063260,On Rail Gesellschaft für Eisen bahnausrüstungen und Zubehör m,DEU
23952,5063264,OHB SE,DEU
23963,5063281,Novartis Pharma Arzneimittel G mbH,DEU
23968,5063289,Nord-West Oelleitung GmbH,DEU
23969,5063290,Nordmark Pharma GmbH,DEU
23970,5063291,Nordmark Pharma GmbH,DEU
23981,5063307,Netra GmbH Norddeutsche Erdgas Transversale & Co. KG,DEU
23982,5063308,Netra GmbH Norddeutsche Erdgas Transversale & Co. KG,DEU
23983,5063309,Netra GmbH Norddeutsche Erdgas Transversale & Co. KG,DEU
23994,5063336,"ml & s manufacturing, logistic s and services GmbH & Co. KG",DEU
24008,5063357,Merck KGaA*,DEU
24009,5063358,Merck KGaA*,DEU
24010,5063359,Merck KGaA*,DEU
24011,5063360,Mercedes Benz AG,DEU
24012,5063361,Mercedes Benz AG,DEU
24015,5063364,Medizinische Hochschule Hannov er,DEU
24016,5063365,MediaService Center RM Fernseh produktions- und Serviceges. m,DEU
24017,5063366,MediaService Center RM Fernseh produktions- und Serviceges. m,DEU
24019,5063373,MC-BAUCHEMIE MÜLLER GmbH & Co. KG Chemische Fabriken,DEU
24023,5063380,Maschinenfabrik Reinhausen Gmb H,DEU
24024,5063381,Maschinenfabrik Reinhausen Gmb H,DEU
24028,5063389,Mahle GmbH KFZ-RR,DEU
24029,5063390,MAHLE AG,DEU
24030,5063391,MAHLE AG,DEU
24031,5063392,MAHLE AG,DEU
24032,5063393,MAHLE AG,DEU
24040,5063415,Lindner Group KG,DEU
24041,5063416,Lindner Group KG,DEU
24064,5063474,Knick Elektronische Messgeräte GmbH & Co. KG,DEU
24066,5063476,KLÖCKNER & CO SE,DEU
24067,5063477,Klinikum der Universität Münch en mit den Campi Großhadern un,DEU
24068,5063479,Klinikum der Johann Wolfgang G oethe-Universität,DEU
24070,5063482,KICO GmbH,DEU
24071,5063483,"KEPLER CONSTRUCTORA, SA DE CV",DEU
24073,5063489,Käserei Champignon Hofmeister GmbH & Co. KG,DEU
24074,5063490,Käserei Champignon Hofmeister GmbH & Co. KG,DEU
24075,5063491,Karwendel-Werke Huber GmbH & C o. KG,DEU
24078,5063494,KARL MAYER Holding GmbH & Co. KG,DEU
24086,5063503,Justus Liebig Universität Gieß en Abteilung KKS,DEU
24096,5063522,International Chemical Investo rs GmbH,DEU
24097,5063523,International Chemical Investo rs GmbH,DEU
24099,5063535,INDUS Holding Aktiengesellscha ft,DEU
24102,5063551,HuDe GmbH,DEU
24105,5063559,HOYER GmbH Internationale Fach spedition,DEU
24110,5063568,Hochwald Foods GmbH,DEU
24119,5063578,Hipp-Werk Georg Hipp OHG,DEU
24120,5063579,Hipp-Werk Georg Hipp OHG,DEU
24123,5063582,Hermetic - Pumpen GmbH,DEU
24126,5063586,Heristo AG,DEU
24130,5063590,HENKEL AG & CO KGAA,DEU
24131,5063591,HENKEL AG & CO KGAA,DEU
24132,5063592,HENKEL AG & CO KGAA,DEU
24138,5063603,Hanseatic Versicherungs- Diens t GmbH,DEU
24139,5063604,Hanseatic Versicherungs- Diens t GmbH,DEU
24140,5063606,Hamburger Energiewerke GmbH,DEU
24141,5063607,Hamburger Energiewerke GmbH,DEU
24151,5063620,Großkraftwerk Mannheim Aktieng esellschaft,DEU
24152,5063621,groninger Holding GmbH & Co. K G,DEU
24156,5063629,Goldschmidt Holding GmbH,DEU
24157,5063630,GNS Gesellschaft für Nuklear-S ervice mbH,DEU
24158,5063631,GNS Gesellschaft für Nuklear-S ervice mbH,DEU
24165,5063646,GEFO Gesellschaft für Oeltrans porte mbH,DEU
24166,5063648,Gebrüder Knauf KG,DEU
24167,5063649,Gebrüder Knauf KG,DEU
24168,5063650,Gebrüder Knauf KG,DEU
24180,5063666,Friedhelm Loh Stiftung & Co.KG,DEU
24181,5063667,Friedhelm Loh Stiftung & Co.KG,DEU
24182,5063668,Freudenberg & Co. KG,DEU
24183,5063669,Freudenberg & Co. KG,DEU
24184,5063670,Freudenberg & Co. KG,DEU
24185,5063671,Freudenberg & Co. KG,DEU
24186,5063672,Freudenberg & Co. KG,DEU
24187,5063673,Freudenberg & Co. KG,DEU
24188,5063676,FRESENIUS,DEU
24189,5063677,Fraunhofer-Gesellschaft e.V. f ür sein Fraunhofer ITMP Frankf,DEU
24190,5063678,Fraunhofer Gesellschaft Instit ut für Molekularbiologie und a,DEU
24193,5063684,Forschungszentrum Jülich GmbH Institut f.Neurowissenschaften,DEU
24209,5063712,Evonik Risk and Insurance Serv ices GmbH,DEU
24210,5063713,EVONIK Industries AG *,DEU
24211,5063714,EVONIK Industries AG *,DEU
24212,5063715,EVONIK Industries AG *,DEU
24213,5063716,EVONIK Industries AG *,DEU
24214,5063717,EVONIK Industries AG *,DEU
24215,5063718,EVONIK Industries AG *,DEU
24216,5063719,EVONIK Industries AG *,DEU
24217,5063720,EVONIK Industries AG *,DEU
24218,5063724,Eurobahn GmbH & Co. KG,DEU
24227,5063745,Energieversorgungscenter Dresd en-Wilschdorf GmbH & Co. KG,DEU
24228,5063746,Energieversorgungscenter Dresd en-Wilschdorf GmbH & Co. KG,DEU
24229,5063751,Encevo Deutschland GmbH,DEU
24239,5063766,EEW Energy from Waste GmbH,DEU
24240,5063767,EEW Energy from Waste GmbH,DEU
24242,5063770,Eberspächer Gruppe,DEU
24254,5063783,Drägerwerk AG,DEU
